sale_id,customer_id,product_id,sale_date,quantity,total_amount
1,1,1,2024-01-15,2,39.98
2,1,3,2024-01-20,1,29.99
3,2,2,2024-01-16,1,25.0
4,2,4,2024-01-22,3,89.97
5,3,5,2024-01-17,2,49.98
6,4,6,2024-01-18,4,119.96
7,4,7,2024-01-25,1,15.5
8,5,8,2024-01-19,3,66.75
9,6,9,2024-01-20,2,40.0
10,7,10,2024-01-21,5,110.95
11,8,11,2024-01-22,1,20.0
12,9,12,2024-01-23,4,79.96
13,10,13,2024-01-24,2,55.0
14,11,14,2024-01-25,1,25.0
15,12,15,2024-01-26,3,67.47
16,13,16,2024-01-27,2,34.0
17,14,17,2024-01-28,1,15.0
18,15,18,2024-01-29,4,92.0
19,16,19,2024-01-30,3,60.0
20,17,20,2024-01-31,2,40.0
21,18,1,2024-02-01,1,19.99
22,18,2,2024-02-05,2,39.98
23,19,3,2024-02-06,1,29.99
24,20,4,2024-02-07,3,89.97
25,21,5,2024-02-08,2,49.98
26,22,6,2024-02-09,4,119.96
27,23,7,2024-02-10,1,15.5
28,24,8,2024-02-11,5,99.95
29,25,9,2024-02-12,2,40.0
30,26,10,2024-02-13,3,66.75
31,27,11,2024-02-14,4,79.96
32,28,12,2024-02-15,2,45.0
33,29,13,2024-02-16,1,35.98
34,30,14,2024-02-17,3,71.97
35,31,15,2024-02-18,2,50.0
36,32,16,2024-02-19,1,27.5
37,33,17,2024-02-20,2,34.0
38,34,18,2024-02-21,4,92.0
39,35,19,2024-02-22,3,60.0
40,36,20,2024-02-23,1,18.75
41,37,1,2024-02-24,2,39.98
42,38,2,2024-02-25,1,19.99
43,39,3,2024-02-26,4,89.96
44,40,4,2024-02-27,2,40.0
45,41,5,2024-02-28,3,67.47
46,42,6,2024-03-01,1,22.5
47,43,7,2024-03-02,2,40.0
48,44,8,2024-03-03,3,55.5
49,45,9,2024-03-04,4,109.96
50,46,10,2024-03-05,1,12.99
